pkg_name,month,counts
bokeh,201907,429651
bokeh,201906,370521
bokeh,201905,411515
bokeh,201904,367506
bokeh,201903,404462
bokeh,201902,402483
bokeh,201901,392855
bokeh,201812,340952
bokeh,201811,426048
bokeh,201810,350804
bokeh,201809,307255
bokeh,201808,364073
bokeh,201807,81894
bokeh,201806,72195
bokeh,201805,83568
bokeh,201804,101926
bokeh,201803,97128
bokeh,201802,89728
bokeh,201801,109313
keras,201907,2128429
keras,201906,1793736
keras,201905,1873789
keras,201904,1479082
keras,201903,1675911
keras,201902,1621469
keras,201901,1745570
keras,201812,1415726
keras,201811,1435265
keras,201810,1493942
keras,201809,1203501
keras,201808,1106631
keras,201807,346863
keras,201806,337921
keras,201805,479083
keras,201804,421099
keras,201803,389069
keras,201802,303750
keras,201801,363829
matplotlib,201907,8899291
matplotlib,201906,7647998
matplotlib,201905,7625851
matplotlib,201904,6704397
matplotlib,201903,7703170
matplotlib,201902,4333697
matplotlib,201901,3938743
matplotlib,201812,3473729
matplotlib,201811,4125413
matplotlib,201810,3356138
matplotlib,201809,3475208
matplotlib,201808,3594221
matplotlib,201807,735736
matplotlib,201806,583225
matplotlib,201805,743444
matplotlib,201804,888620
matplotlib,201803,856165
matplotlib,201802,795800
matplotlib,201801,1154746
networkx,201907,4552783
networkx,201906,3432212
networkx,201905,4150782
networkx,201904,4209151
networkx,201903,4918758
networkx,201902,3746250
networkx,201901,4025174
networkx,201812,2437069
networkx,201811,2470525
networkx,201810,2114125
networkx,201809,1025355
networkx,201808,1027833
networkx,201807,317760
networkx,201806,266429
networkx,201805,339398
networkx,201804,423875
networkx,201803,358548
networkx,201802,342161
networkx,201801,378817
pandas,201907,16723351
pandas,201906,14458929
pandas,201905,12224712
pandas,201904,8435308
pandas,201903,10124652
pandas,201902,10122282
pandas,201901,8338684
pandas,201812,6650292
pandas,201811,6893065
pandas,201810,6479918
pandas,201809,5130327
pandas,201808,5138509
pandas,201807,1517639
pandas,201806,1351452
pandas,201805,1440443
pandas,201804,1551114
pandas,201803,1577512
pandas,201802,2002826
pandas,201801,1965085
panel,201907,11313
panel,201906,6568
panel,201905,1871
panel,201904,2157
panel,201903,3266
panel,201902,1354
panel,201901,1161
panel,201812,1229
panel,201811,151
panel,201810,158
panel,201809,137
panel,201808,176
scikit-learn,201907,8687559
scikit-learn,201906,7998416
scikit-learn,201905,6864192
scikit-learn,201904,6100683
scikit-learn,201903,7947348
scikit-learn,201902,7111801
scikit-learn,201901,6007809
scikit-learn,201812,4262882
scikit-learn,201811,4474535
scikit-learn,201810,5835369
scikit-learn,201809,3066090
scikit-learn,201808,2860064
scikit-learn,201807,888998
scikit-learn,201806,733772
scikit-learn,201805,862301
scikit-learn,201804,941851
scikit-learn,201803,834525
scikit-learn,201802,852294
scikit-learn,201801,980526
statsmodels,201907,1795336
statsmodels,201906,1488173
statsmodels,201905,1512653
statsmodels,201904,1191637
statsmodels,201903,1242178
statsmodels,201902,1064609
statsmodels,201901,1135229
statsmodels,201812,986556
statsmodels,201811,980597
statsmodels,201810,775921
statsmodels,201809,555731
statsmodels,201808,570328
statsmodels,201807,181148
statsmodels,201806,161107
statsmodels,201805,198216
statsmodels,201804,209329
statsmodels,201803,188645
statsmodels,201802,145568
statsmodels,201801,180012
tensorflow,201907,4268647
tensorflow,201906,3382165
tensorflow,201905,3462475
tensorflow,201904,2769662
tensorflow,201903,3231622
tensorflow,201902,2499191
tensorflow,201901,2938590
tensorflow,201812,2186424
tensorflow,201811,2266951
tensorflow,201810,2198915
tensorflow,201809,1623570
tensorflow,201808,1778783
tensorflow,201807,586196
tensorflow,201806,490430
tensorflow,201805,621023
tensorflow,201804,603708
tensorflow,201803,552234
tensorflow,201802,438142
tensorflow,201801,585893
voila,201907,7860
voila,201906,5879
voila,201905,2559
voila,201904,935
voila,201903,1561
voila,201902,1270
voila,201901,2609
voila,201812,2386
voila,201811,1607
voila,201810,1598
voila,201809,612
voila,201808,239
xgboost,201907,1699072
xgboost,201906,1508048
xgboost,201905,1533806
xgboost,201904,1234150
xgboost,201903,1370223
xgboost,201902,1124488
xgboost,201901,1020334
xgboost,201812,850581
xgboost,201811,899865
xgboost,201810,854839
xgboost,201809,577706
xgboost,201808,538123
xgboost,201807,152192
xgboost,201806,116455
xgboost,201805,112296
xgboost,201804,134410
xgboost,201803,155068
xgboost,201802,173519
xgboost,201801,223333
plotly,201907,1566969
plotly,201906,1255121
plotly,201905,1255729
plotly,201904,1043054
plotly,201903,1120799
plotly,201902,992548
plotly,201901,995351
plotly,201812,856092
plotly,201811,923045
plotly,201810,962240
plotly,201809,846368
plotly,201808,733196
plotly,201807,215148
plotly,201806,179792
plotly,201805,196381
plotly,201804,233693
plotly,201803,226191
plotly,201802,209157
plotly,201801,274520